word1,word2,vw_predicted,obtained
screech,plant,1,0.11
bricks,plant,1,0.15
crowd,plant,1,0.18
waves,plant,1,0.18
harmed,plant,1,0.42
limps,plant,0.83,0.32
drink,plant,0.8,0.28
smart,plant,0.8,0.75
blamed,plant,0.8,1.01
parks,plant,0.8,1.79
grams,plant,0.8,1.79
cramp,plant,0.8,2.37
flushed,plant,0.6,0.29
blond,plant,0.6,0.9
pierced,plant,0.6,0.98
stand,plant,0.6,1.51
plots,plant,0.6,1.79
split,plant,0.5,0.8
prank,plant,0.4,1.85
grant,plant,0.4,3.43
plast,plant,0.2,2.27
plint,plant,0.2,2.28
plans,plant,0.2,2.84
prant,plant,0.2,3.39
slant,plant,0.2,3.49
wage,sit,1,0.15
rule,sit,1,0.24
keys,sit,1,0.45
end,sit,1,0.56
take,sit,0.8,0.35
tall,sit,0.8,0.39
dose,sit,0.8,0.53
tass,sit,0.8,0.77
toss,sit,0.8,0.83
mess,sit,0.8,1.09
imp,sit,0.75,1.18
feet,sit,0.67,0.8
chin,sit,0.67,1.07
but,sit,0.67,1.18
live,sit,0.67,1.2
song,sit,0.67,1.23
tin,sit,0.67,1.49
this,sit,0.67,1.66
miss,sit,0.67,1.66
its,sit,0.5,2.4
sat,sit,0.33,2.34
set,sit,0.33,2.86
sick,sit,0.33,2.89
pit,sit,0.33,3.1
hit,sit,0.33,3.16
sickles,wonder,1,0.04
tossing,wonder,1,0.06
locket,wonder,1,0.1
raising,wonder,1,0.16
rapid,wonder,1,0.18
chinning,wonder,0.8,0.01
bucket,wonder,0.8,0.14
cradle,wonder,0.8,0.16
willows,wonder,0.8,1.2
member,wonder,0.8,1.57
colors,wonder,0.67,0.71
handle,wonder,0.6,0.53
butler,wonder,0.6,0.96
danger,wonder,0.6,1.28
widows,wonder,0.6,1.29
bundle,wonder,0.4,1.36
tender,wonder,0.4,2.05
windle,wonder,0.4,2.05
welder,wonder,0.4,2.38
winter,wonder,0.4,2.64
wuzder,wonder,0.2,2.69
wundle,wonder,0.2,2.91
wander,wonder,0.2,3.56
sunder,wonder,0.2,3.59
wunter,wonder,0.2,3.63
get,relation,1,0.35
asthmatic,relation,1,0.36
deters,relation,1,0.4
hesitate,relation,0.89,0.52
fascinating,relation,0.89,0.75
sun,relation,0.86,0.41
effect,relation,0.86,0.48
become,relation,0.86,0.73
rich,relation,0.86,0.87
legislates,relation,0.80,1.23
mechanic,relation,0.78,0.66
underwritten,relation,0.73,1.47
pain,relation,0.71,0.73
lash,relation,0.71,0.80
rush,relation,0.71,1.12
repel,relation,0.67,1.36
inhibition,relation,0.67,1.59
emotions,relation,0.63,1.62
resolution,relation,0.55,2.38
laceration,relation,0.50,2.59
revision,relation,0.43,2.11
relate,relation,0.43,2.68
location,relation,0.43,2.84
ration,relation,0.29,2.98
belation,relation,0.14,3.33